WarehouseDisID,Dis,District
122,01,Alpine
197,02,Beaver
205,03,Box Elder
243,04,Cache
279,05,Carbon
300,06,Daggett
308,07,Davis
422,08,Duchesne
442,09,Emery
456,10,Garfield
468,11,Grand
480,12,Granite
635,13,Iron
653,14,Jordan
765,15,Juab
772,16,Kane
783,17,Millard
795,18,Morgan
800,19,Nebo
160607,1B,Utah County Academy of Sciences (UCAS)
175612,1C,Odyssey
185700,1D,Renaissance Academy
185837,1E,Guadalupe School
185872,1F,Quest Academy
186114,1G,"Jefferson Academy (fka, Oquirrh Mountain Charter School)"
186295,1I,Utah International Charter School
186357,1J,American International School of Utah
186380,1K,Vanguard Academy
186444,1L,ATHLOS ACADEMY OF UTAH
837,20,North Sanpete
849,21,North Summit
856,22,Park City
865,23,Piute
870,24,Rich
880,25,San Juan
900,26,Sevier
921,27,South Sanpete
930,28,South Summit
940,29,Tintic
165609,2B,Lincoln Academy
185804,2C,Intech Collegiate High School
185802,2D,Channing Hall
185835,2E,Karl G. Maeser Preparatory Academy
185873,2F,Rockwell Charter High School
186115,2G,Vista at Entrada
186182,2H,Utah Connections Academy
186298,2I,Esperanza School
186351,2J,Ascent Academies of Utah
186369,2K,Utah Military Academy
947,30,Tooele
972,31,Uintah
992,32,Wasatch
1002,33,Washington
1042,34,Wayne
1050,35,Weber
1107,36,Salt Lake
1183,37,Ogden
1222,38,Provo
1261,39,Logan
165610,3B,Beehive Science and Tech Academy (BSTA)
185690,3C,Entheos Academy - Kearns
185690,3C,Entheos Academy - Magna
185698,3D,Spectrum Academy
185842,3E,C.S. Lewis Academy
185874,3F,Venture Academy
186155,3G,Bear River Charter School
186254,3H,Endeavor Hall
186300,3I,Leadership Learning Academy
186346,3J,Dixie Montessori Academy
186374,3K,Roots Charter High School
186459,3L,LEADERSHIP ACADEMY OF UTAH
1275,40,Murray
186056,42,Canyons
186166,43,Utah Electronic High School
165611,4B,Wasatch Peak Academy
185702,4C,Lakeview Academy
185793,4D,Syracuse Arts Academy
185843,4E,Dual Immersion Academy
185868,4F,Salt Lake Center for Science Education
186154,4G,Maria Montessori Academy
186266,4H,Aristotle Academy
186302,4I,Mana Academy Charter School
186348,4J,Kairos Academy
186387,4K,Athenian eCademy
165612,5B,North Star Academy
185694,5C,Legacy Preparatory Academy
185800,5D,George Washington Academy
185833,5E,Edith Bowen Laboratory School
186006,5F,Utah Virtual Academy
186156,5G,Quail Run Primary School
186156,5G,Canyon Grove Academy
186275,5H,Highmark Charter School
186304,5I,Voyage Academy
186355,5J,Mountain West Montessori Academy
110571,68,Ogden Preparatory Academy
185791,6C,Liberty Academy
185686,6D,Noah Webster Academy
186110,6F,Early Light Academy at Daybreak
186157,6G,Weilenmann School of Discovery
186278,6H,Promontory School of Expedition
186306,6I,Wasatch Institue of Technology
186353,6J,Scholar Academy
110573,74,American Preparatory Academy
186243,74,American Preparatory Academy--Accelerated School
186124,74,American Preparatory Academy for New Americans
186317,74,American Preparatory Academy--Draper #2
165614,7B,Reagan Academy
185798,7C,Monticello Academy
185696,7D,Salt Lake School for Performing Arts
185866,7E,Gateway Preparatory Academy
186111,7F,Excelsior Academy
186170,7G,Summit Academy High School
186276,7H,Pacific Heritage Academy
186314,7I,Weber State University Charter Academy
186390,7J,Greenwood Charter School
125582,81,Walden School of Liberal Arts
110574,82,Freedom Academy
110575,83,"Academy for Math, Engineering, and Science (AMES)"
5492,86,Pinnacle Canyon
10527,87,City Academy
5495,89,Soldier Hollow Charter School
165615,8B,American Leadership Academy (ALA)
185688,8C,Mountainville Academy
185847,8D,Open Classroom
185870,8E,Merit College Preparatory Academy
186112,8F,Hawthorne Academy
186171,8G,Good Foundations Academy
186279,8H,Valley Academy
186311,8I,Winter Sports School
186372,8J,Terra Academy
186429,8K,American Academy of Innovation
5496,90,Tuacahn
5497,92,Uintah River
35537,93,John Hancock
35538,94,Thomas Edison-North
186031,94,Thomas Edison - South
35539,95,Timpanogos Academy
NULL,96,Park City Learning Center
110569,97,Salt Lake Arts Academy
60560,98,Fast Forward
170609,9B,Navigator Pointe
185692,9C,Paradigm
185836,9D,Canyon Rim Academy
185871,9E,Providence Hall
186113,9F,Open High School of Utah
186113,9F,Mountain Heights Academy
186179,9G,Alianza Academy
186289,9H,Pioneer High School for the Performing Arts
186342,9I,Utah Career Path High School
186385,9J,Lumen Scholar Institute
125576,A1,"Northern Utah Academy for Math, Engineering, and Science (NUAMES)"
125577,A2,Ranches Academy
125578,A3,Da Vinci Academy
125579,A4,Summit Academy
125580,A5,Itineris Early College High School
125581,A6,North Davis Preparatory Academy
135602,A7,Moab Community School
135601,A8,East Hollywood High
165608,A9,Success Academy
186474,6L,Bonneville Academy
186490,8L,Real Salt Lake Academy High School